Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
1/15/15,99.669998,100.139999,96.019997,96.309998,96.309998,18260100,-0.032837959,Down,101.8261325,103.8039723,-1.97783979,-1.24346152,20.9748452,15.8333651,13.83615774
1/16/15,96.089996,97.800003,95.519997,96.889999,96.889999,13327900,0.00602223,Up,101.0667274,103.2918261,-2.225098775,-1.439788971,27.74510606,2.491416027,9.492138641
1/20/15,98.300003,100.209999,97.589996,100.040001,100.040001,12025600,0.032511116,Up,100.9087695,103.0509502,-2.142180741,-1.580267325,33.99900964,11.2850182,9.869933112
1/21/15,100.75,103.860001,100.32,103.290001,103.290001,15186900,0.032487005,Up,101.2751128,103.0686577,-1.793544893,-1.622922839,40.97531337,40.39323675,18.05655699
1/22/15,104.599998,104.919998,103.099998,104,104,11433000,0.006873841,Up,101.6943262,103.137646,-1.443319795,-1.58700223,46.3645006,70.95891472,40.87905656
1/23/15,104.019997,105.199997,103.019997,103.110001,103.110001,9847400,-0.008557683,Down,101.9121223,103.1355982,-1.223475894,-1.514296963,50.76884812,86.35441816,65.90218988
1/26/15,104.400002,105.129997,103.330002,103.989998,103.989998,10664900,0.008534546,Up,102.2317955,103.1988871,-0.967091585,-1.404855887,49.70371435,77.29129097,78.20154128
1/27/15,102.889999,103.57,100.580002,102.940002,102.940002,15659900,-0.010097086,Down,102.3407503,103.1797104,-0.838960066,-1.291676723,57.20732984,86.25256479,83.29942464
1/28/15,100.300003,101.489998,97.790001,98.449997,98.449997,42144700,-0.043617689,Down,101.7421729,102.8293613,-1.087188362,-1.250779051,49.60269059,75.56014008,79.70133195
1/29/15,90.529999,90.739998,87.360001,89.809998,89.809998,76561400,-0.087760277,Down,99.90645369,101.864964,-1.958510299,-1.3923253,27.51946666,29.83707025,63.88325837
1/30/15,89.599998,92,88.110001,89.080002,89.080002,36806900,-0.008128226,Down,98.24084574,100.9179298,-2.67708403,-1.649277046,25.49295925,13.65661498,39.68460843
